instance_id,solver_name,n_backdoor_leaves,backdoor_depth,whole_runtime,whole_decisions,whole_propagations,whole_restarts,whole_conflicts,leaves_runtime,leaves_decisions,leaves_propagations,leaves_restarts,leaves_conflicts,tautology_check_runtime
83,minisat22,545,12,1.8865543979991344,27813,37462,22,4342,0.001266082001166069,0,5850,545,648,0.002919602000474697
83,glucose41,545,12,4.790149639999072,56325,82371,19,10645,0.001402717000019038,0,5850,545,648,0.004517003999353619
83,cadical153,545,12,5.431917851001344,75723,132913,26,18514,0.001626203000341775,0,5884,0,650,0.004759248999107513
83,lingeling,545,12,33.427182659999744,131579,195137,1,19448,0.003926450999642839,5036,5083,0,541,0.009493873001702013
84,minisat22,548,11,1.6050941989997227,27298,37595,23,4433,0.002107147998685832,0,5733,548,628,0.002945648000604706
84,glucose41,548,11,3.9186794229990483,46318,70520,14,9790,0.0022510420003527543,0,5733,548,628,0.004854447000980144
84,cadical153,548,11,5.340345726999658,72710,127372,33,18129,0.0021509729995159432,0,5756,0,631,0.0033243409998249263
84,lingeling,548,11,36.77481076699951,150040,225254,1,22324,0.005885946000489639,5009,5061,0,544,0.007344395000473014
85,minisat22,543,13,1.8044468320003944,32460,42785,23,4463,0.002256825999211287,0,5710,543,618,0.0029139620000933064
85,glucose41,543,13,5.083079197000188,63192,100116,16,13834,0.0024369559996557655,0,5710,543,618,0.0055810070007282775
85,cadical153,543,13,9.705575054000292,80409,244797,27,21510,0.002648854000653955,0,5743,0,619,0.003807543000220903
85,lingeling,543,13,21.889453744999628,83291,124585,2,13653,0.009029528999235481,4977,5005,0,540,0.010579463998510619
86,minisat22,546,12,2.2187263920004625,33397,43459,25,4647,0.0018128580013581086,0,5883,546,660,0.0030146700009936467
86,glucose41,546,12,4.921970751000117,59896,92602,16,12227,0.001977021000129753,0,5883,546,660,0.004660202999730245
86,cadical153,546,12,5.252802402999805,69489,121181,35,16897,0.003387000000657281,0,5950,0,665,0.0038718160012649605
86,lingeling,546,12,41.65914707000047,162972,248666,1,25131,0.008933352000894956,5016,5082,0,541,0.008530759001587285
87,minisat22,547,11,1.1654045830000541,24699,33073,18,3567,0.0028639339998335345,0,5592,547,631,0.00199981199875765
87,glucose41,547,11,3.367744721001145,57221,92122,12,12590,0.0029801830005453667,0,5592,547,631,0.003386811000382295
87,cadical153,547,11,3.237951824999982,54343,90955,46,11918,0.0014774689989280887,0,5624,0,634,0.0030829609986540163
87,lingeling,547,11,21.76641173799908,97528,146249,1,14691,0.00576827199984109,4784,4832,0,540,0.01885737700104073
88,minisat22,541,12,1.4092277330000798,27579,36922,22,4224,0.0007169660002546152,0,5739,541,645,0.0033081779984058812
88,glucose41,541,12,5.96760054600054,68987,102065,24,12609,0.0007557769986306084,0,5739,541,645,0.003840990999378846
88,cadical153,541,12,5.334122735999699,71549,124867,40,17274,0.0008729119999770774,0,5791,0,644,0.004257057000359055
88,lingeling,541,12,35.11852164700031,148815,215333,1,20367,0.004017405999547918,4852,4940,0,529,0.03633767899918894
89,minisat22,548,11,1.6945730389998062,28011,37936,23,4449,0.002226446998975007,0,5846,548,641,0.0030464319988823263
89,glucose41,548,11,7.308315666999988,80214,126144,25,16986,0.002355472999624908,0,5846,548,641,0.004183909999483149
89,cadical153,548,11,5.630164637001144,75624,135030,101,19197,0.0025431329995626584,0,5900,0,643,0.0046732280006835936
89,lingeling,548,11,22.304313148999427,81540,122366,2,13190,0.008286272999612265,5035,5106,0,544,0.008111267999993288
90,minisat22,543,12,1.4647884639998665,25755,34600,21,3960,0.001547215999380569,0,5833,543,627,0.0028273540010559373
90,glucose41,543,12,4.984747541999241,57381,88223,21,12156,0.0016811290006444324,0,5833,543,627,0.0036649520006903913
90,cadical153,543,12,5.491243175998534,63890,112939,30,15756,0.0005152909998287214,0,5841,0,626,0.004424140000992338
90,lingeling,543,12,42.3865056700015,165244,252007,2,24393,0.005121702000906225,4910,4986,0,524,0.01516560100026254
91,minisat22,542,12,1.7196108759999333,31777,41689,22,4389,0.004298833999200724,0,5721,542,606,0.002933787000074517
91,glucose41,542,12,7.436887288000435,75878,120113,17,15967,0.003938873000151943,0,5721,542,606,0.006062012998881983
91,cadical153,542,12,3.7780142949995934,48832,84554,26,11885,0.0031396780013892567,0,5737,0,606,0.0034621989998413483
91,lingeling,542,12,39.751439687999664,157978,240718,1,24062,0.011507607001476572,4989,5032,0,534,0.007610788001329638
92,minisat22,544,11,1.3092445649999718,28758,37383,21,3967,0.0013555820005421992,0,5700,544,607,0.0028672909993474605
92,glucose41,544,11,5.851610689000154,64386,104201,19,14184,0.0015453680007340154,0,5700,544,607,0.003959278999900562
92,cadical153,544,11,5.630470555999636,73795,128909,45,18263,0.001528131000668509,0,5733,0,607,0.004403662998811342
92,lingeling,544,11,37.51959813099893,144902,215978,1,21296,0.007002700000157347,4981,5023,0,539,0.00998654499926488
93,minisat22,548,12,1.147362402998624,22386,30017,18,3493,0.0009181330005958444,0,5613,548,596,0.0027099970011477126
93,glucose41,548,12,4.726347439000165,62742,99255,18,13288,0.000977457999397302,0,5613,548,596,0.0031922960006340872
93,cadical153,548,12,5.029189935001341,82902,145333,36,20053,0.0015721210002084263,0,5641,0,597,0.0033054650011763442
93,lingeling,548,12,14.186855644999014,59311,86875,4,9886,0.00412028100072348,4903,4946,0,541,0.007657050000489107
94,minisat22,544,12,1.7591059039987158,31572,43564,28,5213,0.0013333349997992627,0,5778,544,626,0.002900942001360818
94,glucose41,544,12,5.929307143000187,70161,113203,17,15666,0.0014372330006153788,0,5778,544,626,0.0039515469998150365
94,cadical153,544,12,13.940716032000637,89349,289948,31,24611,0.0014143919997877674,0,5825,0,629,0.004706739999164711
94,lingeling,544,12,21.780821615000605,86103,128881,2,14426,0.004875669999819365,4989,5044,0,539,0.008194676998755313
95,minisat22,545,12,1.825471996999113,32429,42479,23,4529,0.0012961729989910964,0,5798,545,658,0.003225190999728511
95,glucose41,545,12,4.414578560001246,53305,77665,17,10044,0.001418871999703697,0,5798,545,658,0.005700161998902331
95,cadical153,545,12,3.873587630001566,55203,91693,18,12633,0.0006699479999952018,0,5844,0,647,0.0037727700000687037
95,lingeling,545,12,40.03319072100021,164073,241956,1,23033,0.002906830999563681,4969,5040,0,535,0.010081458998683956
96,minisat22,545,12,1.8425644290000491,30152,40808,25,4727,0.003190191999237868,0,5726,545,622,0.00263596900003904
96,glucose41,545,12,4.796435714000836,58014,86689,23,11173,0.00335337599972263,0,5726,545,622,0.003434071999436128
96,cadical153,545,12,3.5367175040009897,44954,71906,34,9396,0.0011670569983834866,0,5735,0,616,0.0038763369993830565
96,lingeling,545,12,16.827808856000047,66479,97162,2,10671,0.0034976959996129153,4923,4994,0,537,0.00863445999857504
97,minisat22,544,12,1.9953261760001624,32110,42485,25,4719,0.0009405829987372272,0,5768,544,626,0.0028698290007014293
97,glucose41,544,12,4.259599371998775,52639,76404,18,9922,0.0009929079988069134,0,5768,544,626,0.004302232000554795
97,cadical153,544,12,6.418580354000369,77966,133985,72,18526,0.0023197509999590693,0,5798,0,628,0.004432352001458639
97,lingeling,544,12,35.729177213001094,143486,211109,1,20669,0.011038485999961267,4986,5062,0,537,0.008691064000231563
98,minisat22,545,12,1.5841114430004382,31666,42705,25,4794,0.0036924359992553946,0,5775,545,627,0.002785201999358833
98,glucose41,545,12,4.085540558000503,46022,66387,14,8433,0.00373743199997989,0,5775,545,627,0.005623479000860243
98,cadical153,545,12,4.965758329999517,64783,113164,25,15523,0.004982979999113013,0,5806,0,623,0.005488455999511643
98,lingeling,545,12,13.076936208000916,49027,71030,4,8240,0.011112935000710422,4997,5053,0,541,0.0086880229991948
